timestamp,sensor_id,temperature,vibration_x,vibration_y,vibration_z,status
2026-07-26 10:00:00,node_001,45.2,0.12,0.15,1.02,Normal
2026-07-26 10:00:05,node_001,45.3,0.13,0.14,1.01,Normal
2026-07-26 10:00:10,node_001,45.5,0.15,0.16,1.05,Normal
2026-07-26 10:00:15,node_001,45.7,0.18,0.17,1.06,Normal
2026-07-26 10:00:20,node_001,46.0,0.20,0.19,1.10,Normal
2026-07-26 10:00:25,node_001,46.2,0.22,0.21,1.12,Normal
2026-07-26 10:00:30,node_001,47.5,0.40,0.35,1.30,Warning
2026-07-26 10:00:35,node_001,48.1,0.45,0.40,1.35,Warning
2026-07-26 10:00:40,node_001,51.0,0.60,0.55,1.50,Warning
2026-07-26 10:00:45,node_001,55.5,0.85,0.80,1.75,Critical
2026-07-26 10:00:50,node_001,62.0,1.10,1.05,2.10,Critical
2026-07-26 10:00:55,node_001,65.2,1.25,1.15,2.30,Critical
2026-07-26 10:01:00,node_001,40.5,0.10,0.12,1.00,Normal
2026-07-26 10:01:05,node_001,41.0,0.11,0.11,1.01,Normal
