reading_id,machine_id,vibration,temperature,alert_flag,recorded_at
1,node_001,0.887,48.08,Normal,2026-07-27 08:41:25
2,node_001,0.693,43.64,Normal,2026-07-27 08:41:30
3,node_001,0.596,45.65,Normal,2026-07-27 08:41:35
4,node_001,0.511,45.58,Normal,2026-07-27 08:41:40
5,node_001,0.700,49.71,Normal,2026-07-27 08:41:45
6,node_001,0.747,46.60,Normal,2026-07-27 08:41:50
7,node_001,0.557,45.16,Normal,2026-07-27 08:41:55
8,node_001,0.715,40.14,Normal,2026-07-27 08:42:00
9,node_001,0.591,47.05,Normal,2026-07-27 08:42:05
10,node_001,0.501,49.26,Normal,2026-07-27 08:42:10
11,node_001,0.865,41.66,Normal,2026-07-27 08:42:15
12,node_001,0.928,42.13,Normal,2026-07-27 08:42:20
13,node_001,0.670,42.18,Normal,2026-07-27 08:42:25
14,node_001,0.647,45.05,Normal,2026-07-27 08:42:30
15,node_001,0.995,,Unknown,2026-07-27 08:42:35
16,node_001,0.943,47.62,Normal,2026-07-27 08:42:40
17,node_001,0.502,43.39,Normal,2026-07-27 08:42:45
18,node_001,0.965,49.57,Normal,2026-07-27 08:42:50
19,node_001,0.512,48.79,Normal,2026-07-27 08:42:55
20,node_001,0.529,40.24,Normal,2026-07-27 08:43:00
21,node_001,0.606,48.71,Normal,2026-07-27 08:43:05
22,node_001,0.904,45.43,Normal,2026-07-27 08:43:10
23,node_001,0.954,44.12,Normal,2026-07-27 08:43:15
24,node_001,0.680,45.14,Normal,2026-07-27 08:43:20
25,node_001,0.906,999.90,Normal,2026-07-27 08:43:25
26,node_001,0.611,42.81,Normal,2026-07-27 08:43:30
27,node_001,0.894,47.35,Normal,2026-07-27 08:43:35
28,node_001,0.515,46.79,Normal,2026-07-27 08:43:40
29,node_001,0.779,46.81,Normal,2026-07-27 08:43:45
30,node_001,0.853,49.74,Normal,2026-07-27 08:43:50
31,node_001,0.663,48.95,Normal,2026-07-27 08:43:55
32,node_001,0.654,44.91,Normal,2026-07-27 08:44:00
33,node_001,0.654,47.19,Normal,2026-07-27 08:44:05
34,node_001,0.654,42.42,Normal,2026-07-27 08:44:10
35,node_001,0.654,41.37,Normal,2026-07-27 08:44:15
36,node_001,0.654,41.16,Normal,2026-07-27 08:44:20
37,node_001,0.764,43.10,Normal,2026-07-27 08:44:25
38,node_001,0.518,49.41,Normal,2026-07-27 08:44:30
39,node_001,0.964,45.01,Normal,2026-07-27 08:44:35
40,node_001,0.867,49.49,Normal,2026-07-27 08:44:40
